Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
F. Kohls;23;Germany;FC Würzburger Kickers;€450K;Right;Centrocampista;23;62;69;63;80;60;62
L. Zidane;20;France;Real Madrid;€350K;Right;Portero;30;14;33;32;36;16;14
Jeon Hyeon Chul;27;Korea Republic;Daegu FC;€325K;Right;Centrocampista;7;58;70;77;67;33;32
J. Weir;22;England;Hull City;€450K;Right;Centrocampista;24;69;74;66;74;49;52
M. Rose;35;England;Macclesfield Town;€70K;Left;Centrocampista;24;62;59;58;66;65;54
B. Moore;29;England;Bury;€300K;Right;Delantero;15;57;82;75;83;34;37
D. Mihailovic;19;United States;Chicago Fire;€525K;Right;Centrocampista;14;66;63;67;59;65;49
G. Zabret;22;Slovenia;Swansea City;€375K;Right;Portero;39;18;48;42;35;31;13
K. Al Kaabi;26;Saudi Arabia;Al Shabab;€350K;Right;Centrocampista;77;60;80;85;76;30;16
J. Brown;23;Jamaica;Cambridge United;€425K;Left;Centrocampista;20;61;75;77;75;58;42
D. Rosende;32;Chile;CD Palestino;€230K;Right;Centrocampista;7;67;55;32;64;69;68
D. Baumgartner;21;Austria;FC Wacker Innsbruck;€400K;Right;Defensa;20;43;62;52;59;65;57
M. Pantovi?;21;Serbia;VfL Bochum 1848;€450K;Right;Centrocampista;27;69;67;62;65;32;21
M. Goncalves;17;France;Toulouse Football Club;€400K;Left;Lateral;3;56;62;61;63;65;62
J. Branger-Engone;24;Gabon;Oldham Athletic;€375K;Left;Centrocampista;22;69;70;61;65;41;23
R. Renner;24;Austria;SV Mattersburg;€375K;Left;Centrocampista;17;63;72;72;69;38;32
R. Hatsuse;20;Japan;Gamba Osaka;€475K;Right;Lateral;6;56;70;73;57;51;59
Y. Tanaka;29;Japan;Hokkaido Consadole Sapporo;€230K;Left;Centrocampista;3;61;63;63;71;65;62
R. Droehnle;19;France;US Orléans Loiret Football;€600K;Left;Defensa;21;45;52;52;46;57;57
S. McCoulsky;21;England;Southend United;€450K;Right;Delantero;28;59;91;88;72;58;14
F. Dady Ngoy;28;France;Grenoble Foot 38;€240K;Right;Lateral;14;59;78;80;92;67;53
M. Dolan;25;England;Newport County;€375K;Left;Centrocampista;8;63;66;66;75;54;43
S. Jackson;31;Canada;St. Mirren;€270K;Right;Delantero;11;59;80;76;79;50;33
D. Oldaker;19;England;Gillingham;€450K;Right;Centrocampista;20;67;72;70;70;44;49
R. Basque;23;France;Le Havre AC;€400K;Right;Centrocampista;27;67;69;69;63;57;51
Javi Pérez;32;Spain;Extremadura UD;€230K;Left;Centrocampista;32;65;58;55;46;67;53
C. Ogilvie;22;England;Gillingham;€400K;Left;Lateral;34;58;65;69;61;43;61
Z. Elbouzedi;20;Republic of Ireland;Waterford FC;€575K;Right;Centrocampista;33;68;55;69;55;42;29
P. Dárdai;19;Germany;Hertha BSC;€650K;Left;Centrocampista;24;67;76;68;77;42;21
Prendes;21;Spain;Real Oviedo;€425K;Right;Defensa;28;35;68;68;67;67;61
G. Ferrari;21;Argentina;San Lorenzo de Almagro;€475K;Right;Defensa;41;58;65;64;58;63;59
M. Willock;21;England;St. Mirren;€525K;Right;Centrocampista;22;65;69;71;75;54;46
E. Riis Jakobsen;20;Denmark;Randers FC;€525K;Right;Delantero;9;60;68;69;58;39;12
S. Coulibaly;22;France;AS Nancy Lorraine;€450K;Right;Defensa;21;45;53;49;52;51;55
M. Biamou;27;France;Coventry City;€325K;Right;Delantero;9;59;77;77;63;68;20
D. Cardozo;31;Argentina;San Martín de San Juan;€270K;Left;Centrocampista;30;62;76;73;78;41;60
E. Seidou;26;France;Red Star FC;€290K;Left;Lateral;15;62;69;67;70;62;52
S. Ohlsson;25;Sweden;Trelleborgs FF;€350K;Right;Centrocampista;3;63;60;55;58;50;54
C. Woodman;35;England;Exeter City;€70K;Left;Lateral;3;62;61;57;63;63;61
V. Leikvoll Moberg;27;Norway;FK Bodø/Glimt;€350K;Right;Centrocampista;6;60;65;63;55;73;62
D. Johnson;22;United States;Chicago Fire;€425K;Right;Centrocampista;20;60;78;72;76;57;53
L. Öhman;26;Sweden;IF Brommapojkarna;€325K;Right;Defensa;4;46;49;51;43;73;61
T. Morishima;21;Japan;Sanfrecce Hiroshima;€550K;Right;Centrocampista;14;67;67;75;75;41;20
S. Cleveland;24;United States;Chicago Fire;€300K;Left;Portero;30;27;55;56;33;27;11
U. Nissilä;22;Finland;SV Zulte-Waregem;€425K;Right;Centrocampista;16;60;74;65;72;40;25
J. Thompson;29;England;Rochdale;€300K;Right;Centrocampista;15;60;81;81;94;56;23
João Lopes;22;Brazil;Santa Clara;€300K;Right;Portero;96;18;33;29;58;19;17
Lee Jin Hyung;30;Korea Republic;Incheon United FC;€190K;Right;Portero;21;19;48;49;63;16;18
C. Essers;21;Netherlands;Fortuna Sittard;€350K;Right;Lateral;2;65;60;62;58;54;61
F. Franks;27;England;Newport County;€290K;Right;Defensa;5;32;65;66;64;78;60
J. Campbell-Ryce;35;Jamaica;Stevenage;€130K;Right;Centrocampista;20;61;74;76;77;55;26
M. Etuin;22;France;FC Lorient;€425K;Left;Centrocampista;17;61;64;71;64;43;55
Jung San;29;Korea Republic;Incheon United FC;€200K;Right;Portero;1;18;48;40;42;36;21
Liu Yu;33;China PR;Chongqing Dangdai Lifan FC SWM Team;€120K;Left;Lateral;9;60;52;49;67;62;63
C. Hamilton;23;England;Mansfield Town;€375K;Left;Centrocampista;22;60;92;91;73;52;55
I. McShane;25;Scotland;St. Mirren;€350K;Right;Centrocampista;16;64;73;72;71;53;53
Y. Misao;27;Japan;Kashima Antlers;€300K;Left;Defensa;15;63;69;73;75;63;58
M. Pribula;32;Slovakia;Zag??bie Sosnowiec;€240K;Left;Centrocampista;19;62;71;67;70;35;58
J. Grimes;27;England;Macclesfield Town;€260K;Right;Defensa;6;36;63;55;61;57;58
E. Nouri;32;Azerbaijan;Kalmar FF;€170K;Right;Lateral;13;57;73;76;70;79;57
J. Murphy;36;Republic of Ireland;Bury;€40K;Left;Portero;1;33;34;39;38;31;15
Martí Vilá;19;Spain;CF Reus Deportiu;€450K;Left;Lateral;32;62;67;61;58;59;56
K. Piedrahita;27;United States;La Equidad;€270K;Right;Portero;33;25;42;46;38;18;22
Seo Young Jae;23;Korea Republic;MSV Duisburg;€375K;Left;Lateral;2;46;71;67;69;54;60
Y. Songo'o;26;Cameroon;Plymouth Argyle;€300K;Right;Defensa;4;55;73;64;80;73;60
Lang Zheng;31;China PR;Hebei China Fortune FC;€200K;Right;Defensa;5;43;54;60;52;73;58
J. Matt;28;Jamaica;Newport County;€325K;Right;Delantero;11;53;70;63;61;60;12
J. Yates;21;England;Carlisle United;€425K;Right;Centrocampista;17;63;70;68;72;55;24
A. Baker;21;Wales;Sheffield Wednesday;€450K;Right;Lateral;24;60;74;68;57;74;56
I. Morales;18;Chile;Colo-Colo;€625K;Right;Delantero;18;62;72;77;67;40;16
M. Verreth;20;Belgium;PSV;€500K;Right;Centrocampista;29;60;79;77;71;28;29
Zhu Ting;32;China PR;Dalian YiFang FC;€170K;Right;Lateral;8;70;51;30;31;59;68
E. Bajrami;25;FYR Macedonia;SKN St. Pölten;€350K;Left;Centrocampista;27;65;72;67;78;43;39
A. Mangan;31;England;Accrington Stanley;€270K;Right;Delantero;19;59;75;78;74;52;30
K. Baccus;20;Australia;Western Sydney Wanderers;€475K;Right;Centrocampista;17;63;75;73;79;56;60
T. Antalyal?;23;Turkey;BB Erzurumspor;€400K;Right;Centrocampista;8;58;58;52;61;58;49
S. Takahashi;26;Japan;Júbilo Iwata;€300K;Right;Defensa;41;25;65;66;52;68;61
A. Ramsdale;20;England;Bournemouth;€550K;Right;Portero;12;26;33;36;45;35;12
S. Sørli;22;Norway;Kristiansund BK;€425K;Left;Centrocampista;24;58;90;88;77;47;54
Choi Hyun Tae;30;Korea Republic;Jeju United FC;€280K;Right;Centrocampista;35;61;72;64;68;64;58
Jefté;24;Spain;SV Mattersburg;€400K;Right;Delantero;7;62;53;53;60;58;23
G. Crociata;20;Italy;Crotone;€675K;Right;Centrocampista;16;69;69;56;68;27;23
V. Pinson;22;France;Stade de Reims;€425K;Right;Delantero;27;59;66;63;58;29;20
D. Williams;30;England;Accrington Stanley;€290K;Right;Centrocampista;12;65;69;68;63;36;43
K. Lejeune;33;France;AC Ajaccio;€120K;Left;Lateral;22;63;56;65;74;67;60
D. Avounou;20;Congo;US Orléans Loiret Football;€525K;Left;Centrocampista;20;62;67;66;43;49;64
S. Barreto;19;Argentina;Independiente;€600K;Right;Defensa;24;55;64;60;49;59;62
T. Sawada;27;Japan;V-Varen Nagasaki;€325K;Right;Centrocampista;19;60;77;75;72;46;17
M. Yamane;24;Japan;Shonan Bellmare;€350K;Right;Defensa;13;55;73;78;58;56;59
J. Dem;25;Germany;SG Sonnenhof Großaspach;€325K;Right;Centrocampista;26;52;75;74;75;71;60
Ba Dun;22;China PR;Beijing Sinobo Guoan FC;€425K;Right;Centrocampista;29;63;75;77;76;63;48
A. Georgiou;21;Cyprus;Tottenham Hotspur;€575K;Left;Centrocampista;42;64;69;72;66;44;56
Álex Blanco;19;Spain;Valencia CF;€575K;Left;Centrocampista;30;66;69;67;65;39;42
J. Kotzke;28;Germany;FC Ingolstadt 04;€250K;Right;Centrocampista;25;59;64;67;66;69;59
I. Varone;25;Italy;Cosenza;€375K;Right;Centrocampista;17;63;52;56;63;59;50
J. Cejas;20;Argentina;Estudiantes de La Plata;€675K;Right;Centrocampista;23;58;70;74;72;56;45
T. Söderström;24;Sweden;IF Brommapojkarna;€400K;Right;Centrocampista;11;61;88;83;64;58;57
Fran Serrano;23;Spain;Granada CF;€375K;Right;Defensa;31;45;50;36;32;68;53
K. Fujimoto;32;Japan;Cerezo Osaka;€170K;Right;Defensa;4;45;62;58;53;64;53
I. Moreno;20;Mexico;Club América;€500K;Right;Centrocampista;25;61;67;70;58;42;30
Lucas Rodrigues;18;Brazil;Moreirense FC;€425K;Right;Delantero;17;61;63;68;62;30;20
S. Slocombe;30;England;Lincoln City;€190K;Right;Portero;24;17;44;32;56;31;22
J. Araya;22;Chile;Colo-Colo;€500K;Right;Centrocampista;24;65;68;65;64;60;52
A. Palumbo;21;Italy;US Salernitana 1919;€425K;Right;Centrocampista;20;69;70;67;74;54;46
J. Wehrmann;19;Netherlands;Feyenoord;€650K;Right;Centrocampista;26;62;71;65;67;61;60
R. Taillan;26;France;AS Béziers;€300K;Right;Lateral;20;59;80;74;64;48;53
C. Sabaly;19;Senegal;FC Metz;€650K;Right;Centrocampista;12;62;79;80;78;31;18
M. Phaeton;18;France;En Avant de Guingamp;€625K;Right;Delantero;33;62;72;75;64;63;16
P. Uscanga;27;Mexico;Querétaro;€350K;Right;Centrocampista;21;59;75;69;77;58;70
J. Konings;20;Netherlands;Heracles Almelo;€500K;Left;Delantero;25;61;72;75;56;42;25
A. Ndiaye;18;Senegal;FC Metz;€625K;Right;Delantero;23;62;75;75;57;27;12
A. Groiß;20;Germany;Karlsruher SC;€425K;Right;Centrocampista;20;51;58;61;54;75;58
C. Gameiro;25;Australia;Central Coast Mariners;€400K;Right;Delantero;21;58;71;71;71;67;43
I. Buckley-Ricketts;20;England;Peterborough United;€525K;Right;Centrocampista;7;68;85;77;83;42;19
F. Ahumada;22;Chile;CD Palestino;€500K;Right;Delantero;29;65;70;71;66;33;22
A. Vaikla;21;Estonia;Kristiansund BK;€425K;Right;Portero;12;18;29;22;33;22;19
Kike;21;Spain;Real Valladolid CF;€425K;Right;Centrocampista;29;68;61;59;57;56;57
A. Al Asmari;21;Saudi Arabia;Ohod Club;€525K;Right;Centrocampista;40;66;69;67;62;52;56
A. Roldan;21;United States;Seattle Sounders FC;€500K;Right;Centrocampista;16;63;69;64;65;62;39
D. Amankwaa;24;Denmark;Heart of Midlothian;€400K;Right;Centrocampista;12;61;79;86;67;50;29
S. Bali?;28;Montenegro;Zag??bie Lubin;€240K;Left;Lateral;3;56;71;70;69;64;63
S. Griffin;23;Republic of Ireland;Cork City;€350K;Left;Lateral;20;57;64;74;71;53;61
M. Sadílek;19;Czech Republic;PSV;€650K;Left;Centrocampista;32;65;66;62;54;66;63
G. Jansson;32;Sweden;IFK Norrköping;€170K;Right;Portero;24;23;32;30;32;13;13
C. Duffus;22;Republic of Ireland;Waterford FC;€450K;Right;Delantero;9;61;73;65;59;50;22
F. Escales;22;France;Olympique de Marseille;€325K;Right;Portero;40;17;19;33;23;19;14
A. Silva Quiroga;25;Uruguay;San Martín de San Juan;€325K;Right;Lateral;16;60;64;56;52;54;60
C. Humphreys-Grant;19;England;Manchester City;€600K;Right;Defensa;77;50;65;66;63;56;54
N. Sakemoto;33;Japan;Cerezo Osaka;€120K;Right;Lateral;20;65;55;68;64;62;68
G. Rodríguez;24;Uruguay;San Martín de San Juan;€350K;Left;Lateral;17;62;67;68;62;55;63
J. Teze;18;Netherlands;PSV;€550K;Right;Lateral;33;61;74;80;73;61;57
A. Tanaka;19;Japan;Kawasaki Frontale;€450K;Right;Centrocampista;32;64;74;69;78;48;54
H. Kyprianou;21;Cyprus;Southend United;€375K;Left;Defensa;27;59;68;72;64;43;58
S. Otsuki;29;Japan;Vissel Kobe;€300K;Left;Delantero;33;60;64;65;71;72;36
Y. Kimoto;24;Japan;Cerezo Osaka;€350K;Right;Defensa;15;48;66;59;57;53;65
Baba Fernandes;18;Guinea Bissau;Vitória de Setúbal;€450K;Right;Defensa;40;49;49;54;44;61;59
L. Walthert;34;Switzerland;Neuchâtel Xamax;€120K;Right;Portero;30;14;45;42;46;41;28
E. Ávila;31;Colombia;Jaguares de Córdoba;€200K;Right;Defensa;19;43;50;55;54;70;61
P. Puchegger;23;Austria;SKN St. Pölten;€350K;Left;Lateral;21;53;63;68;46;53;58
Aarón;22;Spain;Granada CF;€300K;Right;Portero;13;22;41;34;32;22;24
B. Clarke;32;Republic of Ireland;St. Patrick's Athletic;€170K;Right;Portero;26;23;54;55;50;43;20
L. Grorud;34;Norway;Sandefjord Fotball;€90K;Right;Defensa;2;57;32;30;51;77;55
J. Kitolano;18;Norway;Wolverhampton Wanderers;€550K;Left;Centrocampista;50;57;79;79;77;56;58
Zhang Yu;24;China PR;Beijing Sinobo Guoan FC;€375K;Left;Defensa;24;52;64;65;55;61;62
O. Banks;25;England;Tranmere Rovers;€375K;Right;Centrocampista;28;60;58;54;64;60;52
C. Ponce;26;Chile;CD Everton de Viña del Mar;€325K;Right;Delantero;21;59;68;68;63;35;17
Abeledo;22;Spain;Gimnàstic de Tarragona;€425K;Left;Centrocampista;17;62;78;76;71;30;18
A. McDonald;17;Scotland;Heart of Midlothian;€650K;Left;Centrocampista;21;67;79;72;75;35;21
J. Laurent;23;England;Shrewsbury;€400K;Right;Centrocampista;28;66;76;74;69;55;51
K. Nakamura;17;Japan;Gamba Osaka;€600K;Right;Centrocampista;38;67;75;75;72;41;31
T. Davies;26;England;Coventry City;€325K;Right;Defensa;5;38;63;69;59;76;59
W. Piñones;30;Chile;Unión La Calera;€230K;Right;Lateral;13;51;60;55;53;66;54
A. Nouri;23;France;AS Béziers;€375K;Right;Centrocampista;15;59;74;73;78;75;62
A. Tideman;25;Sweden;Trelleborgs FF;€290K;Left;Lateral;5;56;67;70;46;73;49
H. Robstad;27;Norway;IK Start;€260K;Left;Defensa;15;61;63;68;66;64;59
K. Goden;19;Germany;1. FC Nürnberg;€500K;Right;Lateral;2;60;69;75;64;58;58
S. Al Shehri;24;Saudi Arabia;Al Raed;€400K;Right;Delantero;11;63;64;70;67;45;20
Alberto Redondo;21;Spain;Getafe CF;€425K;Right;Lateral;36;60;64;53;48;54;64
K. Shimura;22;Japan;Júbilo Iwata;€350K;Right;Portero;31;13;21;28;35;14;5
A. Connolly;18;Republic of Ireland;Brighton & Hove Albion;€625K;Right;Delantero;44;61;62;69;62;50;16
H. Davis;26;England;Grimsby Town;€325K;Right;Defensa;24;43;55;54;63;52;62
M. Festa;26;Italy;Crotone;€260K;Right;Portero;22;21;48;43;37;24;21
M. McGlinchey;31;New Zealand;Central Coast Mariners;€270K;Right;Centrocampista;8;61;70;67;79;56;63
M. Siabanis;18;Greece;PAOK;€375K;Left;Portero;99;12;46;48;54;17;20
Z. Ljubijanki?;34;Slovenia;Urawa Red Diamonds;€160K;Right;Delantero;21;56;66;53;65;69;48
Miguel Ángel;20;Spain;Getafe CF;€425K;Right;Defensa;37;52;52;56;38;56;64
R. Murray;26;Republic of Ireland;Sligo Rovers;€375K;Right;Delantero;9;55;84;81;81;53;21
Y. Ma-Kalambay;32;DR Congo;Wycombe Wanderers;€170K;Right;Portero;30;27;39;47;42;46;16
Borja Domingo;22;Spain;CA Osasuna;€450K;Right;Delantero;32;62;53;45;58;26;17
Kim Geon Ung;20;Korea Republic;Ulsan Hyundai FC;€475K;Right;Centrocampista;16;55;62;58;60;68;61
R. Sawakami;24;Japan;Cerezo Osaka;€400K;Left;Delantero;19;60;69;71;73;65;16
E. Bwomono;19;England;Southend United;€500K;Right;Lateral;2;57;83;84;73;52;57
M. Erlic;20;Croatia;Spezia;€400K;Right;Defensa;28;35;49;55;42;55;58
I. Osbourne;30;England;Walsall;€280K;Right;Centrocampista;30;61;62;61;57;72;63
R. Herrmann;24;Germany;FC Erzgebirge Aue;€375K;Left;Centrocampista;38;61;76;77;73;45;24
B. Al Seliteen;27;Saudi Arabia;Al Raed;€300K;Right;Centrocampista;18;65;49;48;73;70;56
H. Hauksson;26;Iceland;AIK;€325K;Right;Defensa;2;58;67;68;64;65;59
D. Gonzalez;20;Chile;CD O'Higgins;€600K;Right;Defensa;29;30;54;56;42;60;56
J. Verdugo;21;Chile;CD Huachipato;€500K;Right;Centrocampista;18;63;80;81;65;49;49
A. Hasegawa;29;Japan;Nagoya Grampus;€290K;Right;Centrocampista;9;65;61;56;68;58;45
J. Marulanda;22;Colombia;Itagüí Leones FC;€400K;Right;Lateral;2;54;72;75;65;55;57
M. Vallecilla;27;Colombia;Atlético Bucaramanga;€250K;Right;Lateral;4;56;76;67;68;58;61
P. Choroba;22;Germany;SG Sonnenhof Großaspach;€350K;Right;Lateral;14;60;68;72;67;76;58
D. Guidi;22;France;GFC Ajaccio;€375K;Right;Defensa;18;44;63;61;61;61;60
W. Decas;18;Honduras;CD Nacional;€475K;Left;Lateral;55;65;65;64;62;57;54
M. Mari?;22;Croatia;Lillestrøm SK;€325K;Left;Portero;1;15;44;41;31;24;19
M. Tombakti;24;Saudi Arabia;Ohod Club;€375K;Right;Centrocampista;13;58;51;53;64;75;61
A. Castro-Montes;21;Belgium;KAS Eupen;€450K;Right;Centrocampista;14;63;74;68;72;45;32
L. Hemmerich;20;Germany;FC Erzgebirge Aue;€575K;Right;Centrocampista;6;64;67;67;66;61;49
E. García;20;Mexico;Club Atlas;€525K;Right;Defensa;30;39;54;48;48;50;54
L. Reddy;36;Australia;Perth Glory;€40K;Right;Portero;33;19;48;48;45;44;18
G. Ávalos;27;Paraguay;Godoy Cruz;€325K;Right;Delantero;9;55;63;66;53;46;12
N. Sakurauchi;28;Japan;Júbilo Iwata;€300K;Right;Centrocampista;5;65;66;73;75;59;60
H. Ndam;19;Cameroon;New York Red Bulls;€425K;Right;Defensa;47;44;74;78;58;71;54
Ricardo Friedrich;25;Brazil;FK Bodø/Glimt;€300K;Right;Portero;25;17;38;20;40;28;12
Jeong Tae Wook;21;Korea Republic;Jeju United FC;€525K;Right;Defensa;45;31;47;65;38;65;59
M. Lode;25;Norway;FK Bodø/Glimt;€325K;Right;Defensa;2;55;67;76;62;58;58
S. Rhein;20;Germany;1. FC Nürnberg;€425K;Left;Centrocampista;38;59;63;64;67;58;59
O. Karlsson;21;Iceland;Trelleborgs FF;€450K;Left;Delantero;22;62;71;71;59;38;18
F. Arkenberg;22;Germany;Hallescher FC;€375K;Right;Defensa;19;50;75;69;57;63;58
D. Pérez;18;Venezuela;Colo-Colo;€625K;Right;Centrocampista;30;63;70;74;73;50;32
Rubén Enri;20;Spain;CF Reus Deportiu;€450K;Right;Delantero;39;58;59;57;59;35;19
M. Simon;32;Australia;Central Coast Mariners;€240K;Right;Delantero;19;61;71;73;64;90;48
P. Magnín;28;Argentina;San Martín de San Juan;€325K;Right;Delantero;11;58;62;54;57;30;18
A. Mostafa;20;Egypt;KAA Gent;€475K;Right;Centrocampista;34;64;82;76;79;38;39
T. Aldred;27;Scotland;Motherwell;€260K;Right;Defensa;5;44;41;44;30;74;58
João Pereira;28;Portugal;SønderjyskE;€240K;Left;Lateral;14;59;67;71;69;67;61
F. Álvarez;23;Argentina;Belgrano de Córdoba;€350K;Left;Lateral;24;52;71;67;59;60;64
V. Gyökeres;20;Sweden;Brighton & Hove Albion;€675K;Right;Delantero;42;60;68;70;62;43;18
P. Beruatto;19;Italy;Juventus;€575K;Left;Lateral;31;54;63;67;54;57;60
E. Dahlin;29;Sweden;IFK Göteborg;€250K;Right;Portero;25;38;34;32;35;27;24
J. Papaleo;24;Argentina;Unión de Santa Fe;€325K;Right;Portero;25;13;41;39;45;23;22
D. Šari?;21;Bosnia Herzegovina;Carpi;€475K;Right;Centrocampista;21;62;59;63;69;53;47
T. Field;21;Republic of Ireland;Cheltenham Town;€375K;Left;Lateral;27;63;64;70;73;55;60
D. Córdoba;31;Colombia;Jaguares de Córdoba;€200K;Left;Centrocampista;8;56;55;51;53;77;60
E. Figueroa;27;Sweden;IF Brommapojkarna;€280K;Left;Defensa;23;62;65;63;59;62;61
J. Shea;27;England;Luton Town;€200K;Right;Portero;36;23;28;26;34;20;14
A. Al Nazera;25;Saudi Arabia;Al Fateh;€400K;Right;Centrocampista;7;61;60;66;63;66;26
Zheng Kaimu;26;China PR;Guizhou Hengfeng FC;€325K;Right;Defensa;19;48;60;61;59;68;56
S. Humphrys;20;England;Scunthorpe United;€525K;Right;Delantero;10;63;71;70;60;33;21
D. Sterling;18;England;Coventry City;€425K;Right;Lateral;17;55;73;76;63;63;55
K. Michalak;20;Poland;Lechia Gda?sk;€675K;Right;Centrocampista;11;61;91;91;73;58;30
E. Ogude;24;Nigeria;Vendsyssel FF;€400K;Left;Delantero;14;62;74;77;66;34;18
K. Kennedy;24;England;Shrewsbury;€325K;Right;Defensa;4;49;60;61;64;68;56
C. Koca;22;Turkey;Fenerbahçe SK;€450K;Right;Centrocampista;44;59;62;62;62;76;46
O. Balanta;30;Colombia;Boyacá Chicó FC;€230K;Right;Centrocampista;19;61;68;63;61;63;58
A. Karazor;21;Germany;Holstein Kiel;€425K;Right;Centrocampista;22;63;56;61;59;57;58
T. Doornbusch;18;Netherlands;SC Heerenveen;€425K;Right;Portero;24;18;38;40;21;26;15
S. Polat;21;Turkey;Atiker Konyaspor;€475K;Right;Lateral;22;47;76;76;60;74;72
A. Lassiter;23;Costa Rica;LA Galaxy;€425K;Left;Delantero;15;58;80;79;74;25;18
G. Miller;19;England;Bradford City;€450K;Right;Delantero;12;59;74;75;76;68;40
C. Brittain;20;England;Milton Keynes Dons;€600K;Right;Centrocampista;25;59;76;80;78;52;54
J. Champness;21;Australia;Newcastle Jets;€550K;Left;Centrocampista;24;65;85;85;67;36;19
E. Jonassen Sætervik;25;Norway;FK Bodø/Glimt;€325K;Left;Lateral;3;62;76;74;72;44;58
C. Kane;23;Scotland;St. Johnstone FC;€425K;Right;Delantero;9;65;78;79;69;52;28
M. Brouwer;25;Netherlands;Heracles Almelo;€270K;Right;Portero;16;26;25;27;32;21;9
P. Maronilli;20;Italy;Cittadella;€475K;Left;Defensa;31;44;47;67;45;61;58
M. Frankoch;22;Denmark;Vendsyssel FF;€425K;Right;Centrocampista;6;59;60;59;68;59;58
L. Bender;30;Germany;FC Energie Cottbus;€220K;Right;Centrocampista;23;54;66;67;43;59;58
A. Ild?z;21;Turkey;Yeni Malatyaspor;€400K;Right;Centrocampista;19;58;60;68;60;60;58
A. Dabo;17;France;FC Nantes;€650K;Left;Centrocampista;23;67;69;65;62;42;54
S. Odey;20;Nigeria;FC Zürich;€675K;Right;Delantero;15;60;80;84;79;37;16
M. Zemzemi;18;Tunisia;RC Strasbourg Alsace;€625K;Left;Centrocampista;7;68;77;76;72;35;26
T. Takagi;25;Japan;Kashiwa Reysol;€300K;Left;Lateral;6;52;70;75;65;61;54
I. Cissé;22;France;Angers SCO;€425K;Right;Defensa;23;64;73;74;67;57;63
R. Kaib;21;Sweden;IF Elfsborg;€350K;Left;Lateral;13;64;75;79;76;67;57
S. Adekoya;22;United States;Vendsyssel FF;€425K;Right;Delantero;22;61;94;93;92;58;18
F. Motori;22;Sweden;Trelleborgs FF;€400K;Right;Centrocampista;28;68;73;68;83;25;22
I. Diarra;20;France;FC Girondins de Bordeaux;€675K;Left;Centrocampista;31;62;81;78;77;30;23
L. Price;33;Wales;Rotherham United;€150K;Right;Portero;12;21;35;39;54;35;15
T. Socha;30;Poland;Arka Gdynia;€220K;Right;Lateral;2;63;62;85;67;75;74
V. Tankovskyi;22;Ukraine;Shakhtar Donetsk;€450K;Right;Centrocampista;20;67;65;67;72;36;32
A. Adouyev;19;France;Montpellier HSC;€650K;Right;Centrocampista;29;69;76;74;78;42;29
I. Dresevic;21;Sweden;IF Elfsborg;€400K;Right;Defensa;14;58;58;56;55;69;57
J. Devitt;27;Republic of Ireland;Carlisle United;€325K;Right;Centrocampista;10;53;78;72;87;55;31
P. Maiorino;29;Italy;Livorno;€300K;Right;Centrocampista;20;61;65;66;81;51;22
Kim Ji Min;25;Korea Republic;Pohang Steelers;€325K;Right;Centrocampista;14;64;74;71;64;40;15
S. Dooley;26;Northern Ireland;Rochdale;€270K;Right;Centrocampista;7;62;73;71;67;36;40
B. White;20;England;Brighton & Hove Albion;€500K;Right;Defensa;28;44;62;65;44;67;57
A. Sevinç;19;Turkey;Trabzonspor;€550K;Right;Centrocampista;42;60;72;70;76;38;23
P. Struijk;18;Netherlands;Leeds United;€400K;Left;Defensa;50;54;50;68;50;64;58
J. Estrada;20;Mexico;Club Atlas;€400K;Right;Portero;12;13;27;23;58;18;9
M. Reuvers;19;Netherlands;NAC Breda;€375K;Right;Centrocampista;20;63;70;64;63;45;50
F. Pereyra;29;Argentina;CD Huachipato;€220K;Right;Defensa;19;27;46;50;36;74;62
S. Poulsen;33;Denmark;SønderjyskE;€100K;Left;Lateral;7;64;60;63;70;68;62
A. Cervantes;20;Mexico;Guadalajara;€400K;Right;Centrocampista;31;60;61;44;52;63;56
I. Marega;20;France;Stade Malherbe Caen;€325K;Right;Defensa;20;35;52;49;48;53;56
S. Czajkowski;21;Denmark;Vendsyssel FF;€425K;Right;Delantero;23;62;64;71;76;35;10
M. Insaurralde;19;Argentina;San Lorenzo de Almagro;€525K;Right;Centrocampista;36;61;71;68;64;55;43
P. Heigre;23;Norway;Strømsgodset IF;€260K;Right;Portero;20;22;42;42;30;25;21
K. Garcia;27;United States;Houston Dynamo;€250K;Left;Defensa;16;39;40;34;49;65;55
A. Edun;20;England;Ipswich Town;€550K;Left;Centrocampista;25;60;74;72;80;55;64
S. Cordero;22;Chile;CD Antofagasta;€300K;Right;Lateral;22;59;61;59;66;47;60
J. Ramírez;21;Colombia;Atlético Nacional;€300K;Right;Portero;22;12;28;26;33;23;10
C. Jones;17;England;Liverpool;€550K;Right;Centrocampista;48;65;64;63;73;65;44
A. Nabi;24;England;Dundee FC;€350K;Right;Delantero;14;63;65;61;75;67;38
D. Al Saeed;27;Saudi Arabia;Al Hazem;€200K;Right;Portero;21;16;44;45;37;20;20
B. Meredith;28;United States;Seattle Sounders FC;€210K;Right;Portero;35;17;41;53;43;41;17
L. Cole;25;England;Tranmere Rovers;€325K;Right;Centrocampista;29;61;87;79;83;42;34
